"","Zone","Village","cumul"
"1","Ambanja","Ambolikapiky",1722.33624561514
"2","Ambanja","Ankazomahity",14166.0124722959
"3","Ambanja","Ankotika",18244.0079189485
"4","Ambanja","Antsahampano",23638.920580963
"5","Ambanja","Antsatrana",20956.0817900975
"6","Mahajanga","Ambatoraikitra",14132.6068180413
"7","Mahajanga","Ambondro",15061.2597169767
"8","Mahajanga","Ampitsopitsoka",101891.311623263
"9","Mahajanga","Antsakoamanera",24572.0400898696
"10","Mahajanga","Baly",254332.193347589
"11","Mahajanga","Berokadrokatra",76817.6937280543
"12","Mahajanga","Langany",19457.7592092171
"13","Mahajanga","Marotia",115303.097643145
"14","Mahajanga","Sambiravo",110582.058301313
"15","Morombe","Ambohibe",161245.347097703
"16","Morombe","Andranopasy",24289.8442548027
"17","Morombe","Ankilifaly",127415.694562139
"18","Morombe","Ankinjanoke",30469.6899174677
"19","Morombe","Ankotapike",45479.9568673695
"20","Morombe","Befandefa",45972.6795189321
"21","Morombe","Befotaka",39003.4274757513
"22","Morombe","Efeza",18583.6814152367
"23","Morombe","Marohata",60558.9298984206
"24","Morondava","Antsosa",144049.804939824
"25","Morondava","Boringeny",87510.199435089
"26","Morondava","Kaday",46802.5240259067
"27","Morondava","Nosy-Be",332882.8909675
